domain,trial,our_id,competitor_id,fp_winner,fp_reason,fp_ours,fp_competitor,tu_winner,tu_reason,tu_ours,tu_competitor,sv_winner,sv_reason,sv_ours,sv_competitor,overall_winner,overall_reason
AI,11,US11475102B2,US11347652B2,ours,"The first patent's focus on accelerating deep neural network processing is more specific than the second patent, which aims to address memory bandwidth issues in DNN accelerators.",Accelerates deep neural network processing by performing adaptive matrix multiplication,Addresses memory bandwidth problem in DNN accelerators by using a banked memory structure with multiple local memories.,ours,"The first patent utilizes a dual multiplying unit system with burst memory access, which is more distinct than the second patent's banked memory structure design.",Uses a dual multiplying unit system with burst memory access for efficient parallel computation,Improves scalability and potential compute throughput by decoupling data access from a single logically unified memory structure.,tie,"Both patents enhance competitiveness and scalability in AI hardware development and DNN accelerator design, but they target different aspects of deep learning performance.","Enhances product competitiveness in areas requiring fast and efficient deep learning, such as AI hardware development",Enables scalable design of high-performance DNN accelerators for current or near-term AI-focused product lines.,ours,"The first patent offers a more unique approach to parallel computation within deep neural network processing, improving the efficiency of AI hardware development."
AI,11,US11475102B2,CN109478252B,tie,"Both patents aim to accelerate deep neural network processing, but their specific functionalities differ in methods: US11475102B2 focuses on adaptive matrix multiplication using a dual multiplying unit system with burst memory access, while CN109478252B optimizes deep neural network operations via multicast networks and DRAM transfer optimization techniques.",Accelerates deep neural network processing by performing adaptive matrix multiplication,Optimizes deep neural network operations for efficient hardware acceleration.,ours,"The technical approach used by US11475102B2, which employs a dual multiplying unit system with burst memory access for efficient parallel computation, is not directly replicated in the CN109478252B patent.",Uses a dual multiplying unit system with burst memory access for efficient parallel computation,Implements multicast networks and DRAM transfer optimization techniques tailored to neural network-specific operations.,ours,"The strategic value of US11475102B2 lies in its ability to enhance product competitiveness in areas requiring fast and efficient deep learning, such as AI hardware development. CN109478252B offers faster processing times, reduced resource consumption, and greater flexibility in deep learning applications; however, these benefits are not explicitly tied to a specific competitive advantage.","Enhances product competitiveness in areas requiring fast and efficient deep learning, such as AI hardware development","Enables faster processing times, reduced resource consumption, and greater flexibility in deep learning applications.",ours,US11475102B2 presents a more unique technical approach that could provide a significant advantage in the competitive landscape of AI hardware development.
Energy,11,US9257711B2,US11955674B1,competitor,"The US11955674B1 focuses on reducing excessive carbon dioxide emissions in hydrocarbon cracking systems, which is a more specific and immediate environmental concern compared to the general energy production efficiency improvement in US9257711B2.",Improves energy production efficiency in molten carbonate fuel cells by adjusting hydrogen utilization beyond traditional limits.,"Converts hydrogen-rich methane from olefin production into electricity in a fuel cell, reducing excessive carbon dioxide emissions in hydrocarbon cracking systems",competitor,"The US11955674B1 uniquely converts methane from olefin production into electricity in a fuel cell, while the US9257711B2 recycles hydrogen-rich exhaust back to the anode inlet.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing utilization range to over 10% to 30%.","Fuel cell system separates first cracking product stream into hydrogen-rich methane and secondary streams, then converts the methane to electricity",competitor,"The US11955674B1 improves environmental performance by reducing carbon footprint in hydrocarbon cracking systems, enabling compliance with potential future emission standards. The strategic value of the US9257711B2 lies in enhancing fuel cell performance and efficiency but does not directly contribute to specific regulatory compliance.","Enhances fuel cell performance and efficiency, potentially reducing operational costs through improved energy production.","Improves environmental performance by reducing carbon footprint in hydrocarbon cracking systems, enabling compliance with potential future emission standards",competitor,The US11955674B1 patent offers a more significant environmental and strategic impact through reducing carbon footprint in hydrocarbon cracking systems compared to the energy efficiency improvements of the US9257711B2.
Energy,11,US9257711B2,EP4469183A1,competitor,The functional purpose of removing CO2 from H2-rich gas mixtures is more direct and apparent in EP4469183A1.,Improves energy production efficiency in molten carbonate fuel cells by adjusting hydrogen utilization beyond traditional limits.,"Removes CO2 from H2-rich gas mixtures, producing high-purity H2 for further use or storage.",competitor,"The technical uniqueness lies in the integration of a PSA unit for cost-effective CO2 capture, which is not present in US9257711B2.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing utilization range to over 10% to 30%.",Integrates a pressure swing adsorption (PSA) unit with the hydrogen production process to capture CO2 cost-effectively,competitor,"EP4469183A1 contributes to mitigating global warming, whereas US9257711B2 only enhances fuel cell performance and efficiency.","Enhances fuel cell performance and efficiency, potentially reducing operational costs through improved energy production.","Reduces emissions, contributes to mitigating global warming and provides a higher purity H2 product for subsequent use",competitor,EP4469183A1 offers a more comprehensive approach to addressing environmental concerns and H2 production.
Energy,11,US9257711B2,US9502728B1,tie,"Both patents aim to improve energy production, but their specific applications are different: US9257711B2 focuses on enhancing efficiency in molten carbonate fuel cells while US9502728B1 targets heat and electricity production with reduced CO2 emissions.",Improves energy production efficiency in molten carbonate fuel cells by adjusting hydrogen utilization beyond traditional limits.,Produces heat and electricity from hydrocarbon fuels with reduced carbon dioxide emissions through a multi-stack fuel cell system with carbon capture capability.,ours,"The technical uniqueness of recycling hydrogen-rich exhaust lies in increasing the utilization range beyond traditional limits, which is not explicitly present in US9502728B1's multi-stack design.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing utilization range to over 10% to 30%.","Implements a modular design where each stack module contains multiple fuel cell stacks, enhancing efficiency and carbon capture potential.",competitor,"Although both patents enhance fuel cell performance and efficiency, US9502728B1 provides a broader market applicability as it addresses sustainable energy production systems that comply with emissions standards in various industries.","Enhances fuel cell performance and efficiency, potentially reducing operational costs through improved energy production.",Provides market applicability for sustainable energy production systems that comply with emissions standards and reduce carbon footprint in various industries.,tie,"Both patents demonstrate unique technical and strategic value, making them equally attractive for further development."
Energy,11,US9257711B2,US10252243B2,competitor,"The first patent (US9257711B2) improves energy production efficiency in molten carbonate fuel cells, while the second patent (US10252243B2) reduces costs and energy penalties in CO2 capture processes for power generation.",Improves energy production efficiency in molten carbonate fuel cells by adjusting hydrogen utilization beyond traditional limits.,Reduces costs and energy penalties in CO2 capture processes for power generation by using a chemical looping combustion (CLC) process with an oxygen carrier material,competitor,"The second patent (US10252243B2) transports oxygen between air and fuel without direct contact, enabling an exhaust gas stream consisting of CO2 and H2O only and reducing NOx formation during oxidation. The first patent (US9257711B2) recycles hydrogen-rich exhaust back to the anode inlet.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing utilization range to over 10% to 30%.","Transport oxygen between air and fuel without direct contact, enabling exhaust gas stream to consist of CO2 and H2O only and reducing NOx formation during oxidation",competitor,"The second patent (US10252243B2) decreases operational costs due to the absence of gas separation steps, reduces energy expenditure for CO2 capturing, and lowers NOx emissions. The first patent (US9257711B2) enhances fuel cell performance and efficiency, potentially reducing operational costs through improved energy production.","Enhances fuel cell performance and efficiency, potentially reducing operational costs through improved energy production.","Decreases operational costs due to the absence of gas separation steps, reduces energy expenditure for CO2 capturing, and lowers NOx emissions",competitor,The second patent (US10252243B2) offers greater overall strategic value and technical uniqueness in the CO2 capture processes for power generation.
Consumer,11,US10231596B2,US11219349B2,ours,"The first patent aims to optimize water distribution for efficient and thorough cleaning, directly impacting the washing process. In comparison, the second patent focuses on rotational stability of the wash arm assembly.",Improves dish cleaning efficiency by optimizing water distribution in linear type jet structures of a dish washing machine.,"Enhances the rotational stability of wash arm assembly during dishwasher operation, addressing unstable rotation caused by varying liquid pressure.",ours,"The first patent uses a movable vane and fixed nozzle system, providing a unique approach to water reflection towards hard-to-reach areas. The second patent employs a mounting unit with a radial supporting portion and circular insertion portion for stable wash arm support during dynamic conditions.",Utilizes a movable vane and fixed nozzle system to reflect water towards hard-to-reach areas within the washing tank.,Uses a mounting unit with a radial supporting portion and circular insertion portion to provide stable support for the wash arm during dynamic conditions.,ours,"The first patent's improved cleaning efficiency has a higher potential to enhance customer satisfaction and market appeal, compared to the second patent's contribution to product performance.","Enhances product competitiveness by providing efficient, thorough cleaning in dish washing machines, potentially improving customer satisfaction and market appeal.","Improves product performance in dishwashers, contributing to customer satisfaction and potentially increasing market share.",ours,The first patent offers a unique technical solution with higher strategic value in terms of enhancing product competitiveness.
Consumer,11,US10231596B2,US12029369B2,competitor,"The first patent's purpose is specifically tailored for cleaning reusable beverage containers in a retail environment, which is a unique and practical function not directly addressed by the second patent.",Improves dish cleaning efficiency by optimizing water distribution in linear type jet structures of a dish washing machine.,Provides rapid and sanitary washing method for customer-provided reusable beverage containers in a retail environment using a rotating pop-up sprayer.,competitor,"The first patent uses a pop-up sprayer with rotational movement and multiple nozzles, which is not found in the second patent's linear jet structures.",Utilizes a movable vane and fixed nozzle system to reflect water towards hard-to-reach areas within the washing tank.,Uses a pop-up sprayer with rotational movement and multiple nozzles to efficiently wash both the interior and exterior of reusable beverage containers.,competitor,"The first patent reduces time and space requirements in retail environments for washing customer-provided containers, providing immediate benefits to retailers and supporting eco-friendly practices. The strategic value of the second patent is more indirect as it focuses on enhancing dish washing machine competitiveness through efficient cleaning.","Enhances product competitiveness by providing efficient, thorough cleaning in dish washing machines, potentially improving customer satisfaction and market appeal.","Reduces time and space requirements in retail environments for washing customer-provided containers, improving efficiency and supporting eco-friendly practices.",competitor,"The first patent offers a more direct and practical solution for improving retail efficiency, making it the clear winner."
Consumer,11,US10231596B2,EP3560405A1,competitor,"The EP3560405A1 patent addresses the issue of inefficient washing by reciprocating the spray arm using rotational force, whereas the US10231596B2 patent optimizes water distribution in linear type jet structures.",Improves dish cleaning efficiency by optimizing water distribution in linear type jet structures of a dish washing machine.,"Addresses inefficient washing of dishes due to uneven spraying angles by reciprocating the spray arm using the rotational force of the main arm, thereby varying spraying angles",competitor,"The EP3560405A1 patent implements a dishwasher with a reciprocating spray arm driven by an eccentric gear and linker system, which is not found in the US10231596B2 patent.",Utilizes a movable vane and fixed nozzle system to reflect water towards hard-to-reach areas within the washing tank.,Implements a dishwasher with a reciprocating spray arm driven by an eccentric gear and linker system for more efficient water distribution during washing,competitor,"The EP3560405A1 patent enhances product competitiveness by improving wash efficiency, leading to cleaner dishes and potential energy savings through reduced cycles, while the US10231596B2 patent focuses on customer satisfaction and market appeal.","Enhances product competitiveness by providing efficient, thorough cleaning in dish washing machines, potentially improving customer satisfaction and market appeal.","Enhances product competitiveness in the dishwashing appliance market by improving wash efficiency, leading to cleaner dishes and potential energy savings through reduced cycles",competitor,"The EP3560405A1 patent offers unique technical solutions with significant strategic value, positioning it as a stronger competitor in the dishwashing appliance market."
Consumer,11,US10231596B2,KR102528669B1,tie,"Both patents aim to improve the efficiency of dish cleaning, but they address different aspects: KR102528669B1 focuses on distributing washing water evenly using a rotating auxiliary arm, while US10231596B2 optimizes water distribution in linear jet structures using a movable vane and fixed nozzle system.",Improves dish cleaning efficiency by optimizing water distribution in linear type jet structures of a dish washing machine.,Improves even distribution of washing water on dish surfaces for efficient cleaning in dishwashers by utilizing a rotating auxiliary arm.,competitor,"KR102528669B1 eliminates the need for a separate driving device by using the rotational force of the main arm to reciprocate the auxiliary arm, while US10231596B2 uses a movable vane and fixed nozzle system.",Utilizes a movable vane and fixed nozzle system to reflect water towards hard-to-reach areas within the washing tank.,Eliminates need for separate driving device by using the rotational force of the main arm to reciprocate the auxiliary arm.,ours,"While both patents aim to improve customer satisfaction, US10231596B2 specifically enhances product competitiveness by providing efficient cleaning in dish washing machines, while KR102528669B1 only mentions reducing water usage and improving washing efficiency.","Enhances product competitiveness by providing efficient, thorough cleaning in dish washing machines, potentially improving customer satisfaction and market appeal.","Reduces water usage, improves washing efficiency, and results in cleaner dishes.",tie,"Both patents offer unique approaches to enhancing dish cleaning efficiency, making them competitive within their respective market niches."
Mobile,11,US11703916B2,CN114909388B,tie,Both patents aim to increase the stability or durability of foldable electronic devices.,Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes,Extends the service life of flexible screens in foldable electronic devices by managing excessive bending and squeezing during the folding process,competitor,"The CN114909388B patent utilizes a unique folding mechanism with four swing arms, which is not explicitly mentioned in the US11703916B2.",Utilizes a linkage system with sliding lap joint structures to reduce shaking,Utilizes a folding mechanism with four swing arms to provide controlled bending motion for the screen housing bases,ours,"The strategic value of the US11703916B2 lies in its application to a broader range of consumer electronics, as it increases durability and reliability during unfolding and folding processes.",Increases durability and reliability for foldable consumer electronics,"Increases durability of high-end consumer electronics, allows reuse across different foldable device types",tie,"While both patents offer unique solutions for improving the durability of foldable electronic devices, their technical uniqueness lies in distinct areas."
Mobile,11,US11703916B2,EP4557048A1,competitor,"The first patent addresses the issue of limited screen size in portable electronic devices, providing a foldable design that expands the display area without sacrificing portability.",Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes,Addresses limited screen size in portable electronic devices by providing a foldable design that expands the display area without sacrificing portability.,competitor,"The first patent introduces an innovative hinge structure allowing for seamless rotation and support of the foldable display between two housings, which is a unique feature not mentioned in the second patent.",Utilizes a linkage system with sliding lap joint structures to reduce shaking,"Innovative hinge structure allows for seamless rotation and support of the foldable display between two housings, enabling efficient storage when not in use.",competitor,"The first patent enhances user experience by providing a larger display area in compact devices, increasing market applicability and product competitiveness. The second patent focuses on ensuring stability during unfolding/folding processes, which while important for durability, may not have as significant an impact on overall market appeal.",Increases durability and reliability for foldable consumer electronics,"Enhances user experience by providing a larger display area in compact devices, increasing market applicability and product competitiveness",competitor,The first patent presents a more compelling solution for improving the functionality and competitiveness of foldable portable electronic devices.
Mobile,11,US11703916B2,US20240430348A1,competitor,"The first patent enables wider screens in portable electronic devices, maintaining portability, which is not explicitly provided by the second patent.",Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes,"Enables wider screens in portable electronic devices without increasing overall size, maintaining portability.",competitor,"The first patent uses a foldable structure with hinge and link mechanisms, providing stable folding motion, whereas the second patent only mentions using a linkage system with sliding lap joint structures without any specific reference to stability enhancement.",Utilizes a linkage system with sliding lap joint structures to reduce shaking,"Uses a foldable structure with hinge and link mechanisms to provide stable folding motion, enhancing durability.",competitor,"The first patent offers a competitive advantage by providing larger screens without compromising device portability, which directly appeals to consumers, whereas the second patent focuses on increasing durability and reliability for foldable electronic devices.",Increases durability and reliability for foldable consumer electronics,"Offers competitive advantage by providing larger screens without compromising device portability, appealing to consumers.",competitor,The first patent presents a more attractive proposition by providing technological advancements that cater to both functional and strategic aspects in portable electronic devices.
Mobile,11,US11703916B2,JP2022165707A,competitor,"The JP2022165707A patent focuses on allowing smooth rotation and data transmission between components, which is directly relevant to the functionality of foldable electronic devices.",Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes,"Allows smooth absorption of excess length of a flexible substrate in foldable electronic devices, facilitating rotation and data transmission between components.",competitor,"The hinge device used in JP2022165707A is designed to control movement without hindering flexibility, offering a unique solution for managing excess length in foldable devices.",Utilizes a linkage system with sliding lap joint structures to reduce shaking,"Uses a hinge device that allows controlled movement without hindering the flexibility of the substrate, enabling absorption of excess length during rotation.",competitor,"Improving smoothness during rotation can lead to an enhanced user experience and increased market share, as it is a key aspect for consumers when choosing foldable electronic devices.",Increases durability and reliability for foldable consumer electronics,"Enhances performance and user experience in foldable electronic devices by improving smoothness during rotation, potentially increasing market share in this rapidly growing product category.",competitor,The JP2022165707A patent offers a unique technical solution that addresses key aspects of both functionality and user experience in foldable electronic devices.
Healthcare,11,US20210259560A1,KR102407094B1,ours,"The first patent's functional purpose is broader as it monitors multiple physiological or biological states for extended periods, while the second patent only focuses on measuring blood pressure.","Monitors a subject's physiological or biological state for extended periods, enabling early detection of cardiovascular diseases using a digital health monitoring device wearable by lay users.","Measures blood pressure non-invasively without a cuff, reducing damage to blood vessels or tissues and increasing portability.",tie,"Both patents use a combination of microcontrollers, sensors, and user interfaces in their design; however, the first patent's design is tailored for long-term continuous monitoring while the second patent uses contact pressure and pulse wave signal sensors to measure blood pressure non-invasively.","Uses a combination of microcontroller, sensors, and user interface in a compact, easy-to-use design for long-term continuous monitoring.",Uses a contact pressure sensor and pulse wave signal sensor mounted on a wrist-worn device to calculate blood pressure without a cuff.,ours,"The first patent has higher strategic value as it improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required. The second patent's strategic value lies in potential market applicability in healthcare, regulatory alignment with portable medical device standards, potential cost reduction through smaller equipment size, and improved accuracy compared to existing cuffless methods.","Improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required.","Potential for market applicability in healthcare, regulatory alignment with portable medical device standards, potential cost reduction through smaller equipment size, improved accuracy compared to existing cuffless methods.",ours,"The first patent offers a broader functional purpose, higher technical uniqueness in its application, and greater strategic value."
Healthcare,11,US20210259560A1,US11432766B2,ours,"The first patent has a broader functional purpose as it not only measures ECG but also monitors a subject's physiological or biological state for extended periods, enabling early detection of cardiovascular diseases.","Monitors a subject's physiological or biological state for extended periods, enabling early detection of cardiovascular diseases using a digital health monitoring device wearable by lay users.",Enables accurate and efficient ECG measurement in wearable devices,ours,"The first patent offers a combination of microcontroller, sensors, and user interface in a compact, easy-to-use design for long-term continuous monitoring, which is not explicitly mentioned in the second patent.","Uses a combination of microcontroller, sensors, and user interface in a compact, easy-to-use design for long-term continuous monitoring.",Integrates a set of electrodes and processor for voltage correlation to determine ECG,ours,"The first patent improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required. The second patent only enhances product competitiveness by potentially improving health monitoring capabilities.","Improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required.",Potential for improved product competitiveness by enhancing health monitoring capabilities,ours,The first patent presents a more comprehensive solution for wearable healthcare devices.
Healthcare,11,US20210259560A1,US9348322B2,ours,"The first patent (US20210259560A1) focuses on monitoring physiological or biological states for extended periods, specifically targeting early detection of cardiovascular diseases. This purpose is more unique and impactful in terms of healthcare outcomes compared to the second patent's focus on biometric sensing in compact smart devices (US9348322B2).","Monitors a subject's physiological or biological state for extended periods, enabling early detection of cardiovascular diseases using a digital health monitoring device wearable by lay users.","Enables effective biometric sensing in compact smart devices, such as smart watches and glasses.",tie,"Both patents demonstrate technical uniqueness: the first patent uses a combination of microcontroller, sensors, and user interface in a compact, easy-to-use design for long-term continuous monitoring (US20210259560A1), while the second patent employs light emission and detection through a lens with opaque and light transmissive sections for efficient skin biometric data measurement (US9348322B2).","Uses a combination of microcontroller, sensors, and user interface in a compact, easy-to-use design for long-term continuous monitoring.",Uses light emission and detection through a lens with opaque and light transmissive sections for efficient skin biometric data measurement.,ours,"The first patent improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required (US20210259560A1). In comparison, the second patent potentially increases market appeal by providing advanced biometric features in devices with desirable compact sizes, offering product differentiation (US9348322B2); however, its strategic value is more subtle and less transformative compared to the first patent.","Improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required.","Potentially increases market appeal by providing advanced biometric features in devices with desirable compact sizes, offering product differentiation.",ours,"The first patent presents a significant impact on healthcare outcomes, improving diagnostics and reducing costs, making it the more promising technology."
Healthcare,11,US20210259560A1,US9775548B2,ours,"The first patent's functional purpose is to monitor a subject's physiological or biological state for extended periods, focusing on early detection of cardiovascular diseases. In contrast, the second patent's functional purpose is limited to improving sensitivity and accuracy in heart rate monitoring for wearable fitness devices.","Monitors a subject's physiological or biological state for extended periods, enabling early detection of cardiovascular diseases using a digital health monitoring device wearable by lay users.",Improves sensitivity and accuracy in heart rate monitoring for wearable fitness devices.,ours,"The first patent uses a combination of microcontroller, sensors, and user interface in a compact, easy-to-use design for long-term continuous monitoring, whereas the second patent utilizes a high-aspect-ratio photodetector element with two green LEDs to capture diffused light for more accurate heart rate measurements.","Uses a combination of microcontroller, sensors, and user interface in a compact, easy-to-use design for long-term continuous monitoring.","Uses a high-aspect-ratio photodetector element with two green LEDs, capturing diffused light for more accurate measurements.",ours,"The first patent improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required. The second patent enhances product competitiveness by offering reliable and accurate heart rate data in wearable fitness devices.","Improves treatment outcomes, reduces healthcare costs, and increases access to medical diagnostic capabilities by enabling extended monitoring with minimal training required.",Enhances product competitiveness by offering reliable and accurate heart rate data in wearable fitness devices.,ours,"The first patent offers broader strategic value, both in terms of healthcare and accessibility, when compared to the second patent."
AI,12,US11475102B2,US20230297372A1,ours,"The first patent specifically focuses on reducing matrix multiplication running time in deep neural networks, which is a more narrowly defined functional purpose than the second patent's improvement of computation efficiency for multi-dimensional data arrays.",Reduces matrix multiplication running time in deep neural networks for efficient operation.,"Improves computation efficiency for multi-dimensional data arrays in technology fields such as numerical simulations, graphics processing, gaming console design, supercomputing, and machine learning computations for Deep Neural Networks (DNN) layers",competitor,"The partitioned system consisting of an SIMD VPU, matrix unit, and cross-lane unit in the second patent offers a unique approach for improving computation efficiency compared to the adaptive matrix multiplication units in the first patent.","Performs adaptive matrix multiplication using two multiplying units, inner buffer circuits, adder circuits, and multiplying circuits, with a burst memory access mode.","Uses a partitioned system consisting of an SIMD VPU with increased flexibility and memory bandwidth requirements, a matrix unit (MXU) with lower flexibility and high computational density, and a low memory-bandwidth cross-lane unit (XU) for certain operations",ours,"The enhancement of performance in deep neural networks by improving running time makes the first patent more directly valuable in the competitive machine learning applications, whereas the second patent's potential benefits are less clearly defined.","Enhances performance of deep neural networks by improving running time, making it more competitive in machine learning applications","Potentially results in improved performance, resource utilization, or flexibility for certain computations associated with dimensional arrays of data",ours,The first patent offers a more focused and immediately beneficial improvement in deep neural networks.
AI,12,US11475102B2,CN109992743B,ours,"The functional purpose of the second patent focuses on reducing matrix multiplication running time in deep neural networks, which is more specific and directly addresses a common problem in machine learning applications.",Reduces matrix multiplication running time in deep neural networks for efficient operation.,Improves efficiency and flexibility in matrix multiplication calculations,competitor,"The first patent's technical uniqueness lies in partitioning matrices for concurrent processing within a systolic array, providing an adaptable method for various matrix multiplication scenarios.","Performs adaptive matrix multiplication using two multiplying units, inner buffer circuits, adder circuits, and multiplying circuits, with a burst memory access mode.",Partitions matrices for concurrent processing in a systolic array,ours,"The strategic value of the second patent is higher as it improves the performance of deep neural networks, which are critical in modern machine learning applications.","Enhances performance of deep neural networks by improving running time, making it more competitive in machine learning applications","Enhances computational speed and adaptability, valuable for data-intensive applications",ours,The second patent offers a more specific solution to a common problem in machine learning and provides a higher strategic value.
AI,12,US11475102B2,US11347652B2,ours,"The functional purpose of US11475102B2 is to reduce matrix multiplication running time in deep neural networks, which directly addresses the operation efficiency, whereas US11347652B2 focuses on addressing memory bandwidth problems in scaling up DNN accelerators.",Reduces matrix multiplication running time in deep neural networks for efficient operation.,Addresses memory bandwidth problem in scaling up Deep Neural Network (DNN) accelerators by decoupling data access from a single logically unified memory structure using a banked memory structure,ours,"The technical uniqueness of US11475102B2 lies in its adaptive matrix multiplication method using two multiplying units, inner buffer circuits, adder circuits, and multiplying circuits with a burst memory access mode. In contrast, US11347652B2 improves scalability by managing data distribution to multiple local memories and computation units via a memory decoder.","Performs adaptive matrix multiplication using two multiplying units, inner buffer circuits, adder circuits, and multiplying circuits, with a burst memory access mode.",Improves scalability and potentially increases compute throughput of DNN accelerator by managing data distribution to multiple local memories and computation units via a memory decoder,competitor,"Although both patents contribute to product competitiveness in the market, US11347652B2 specifically addresses the scalability and performance challenges associated with memory bottlenecks, which are crucial factors for high-performance DNN accelerators.","Enhances performance of deep neural networks by improving running time, making it more competitive in machine learning applications","Can contribute to product competitiveness in the market for high-performance DNN accelerators by improving their scalability and performance, reducing development time and costs associated with addressing memory bottlenecks",ours,"While US11347652B2 addresses scalability, the adaptive matrix multiplication method of US11475102B2 directly targets performance efficiency in deep neural networks."
AI,12,US11475102B2,CN109478252B,competitor,"While both patents aim to enhance deep neural network performance, the CN patent focuses on optimizing operations for hardware and multicast networks, thereby accelerating the overall process.",Reduces matrix multiplication running time in deep neural networks for efficient operation.,Accelerates deep neural network operations by optimizing multicast networks and memory transfer for hardware.,ours,"The US patent introduces adaptive matrix multiplication using two multiplying units, inner buffer circuits, adder circuits, and multiplying circuits with burst memory access mode, which makes it technically unique compared to the CN patent.","Performs adaptive matrix multiplication using two multiplying units, inner buffer circuits, adder circuits, and multiplying circuits, with a burst memory access mode.","Implements optimization techniques such as multicast networks, DRAM transfer optimization, and permutation for efficient neural network computation.",US109478252B,"Although both patents have strategic value in enhancing deep learning applications, the US patent's adaptive matrix multiplication technique provides more significant improvements in terms of reducing running time compared to the optimization techniques employed by the CN patent.","Enhances performance of deep neural networks by improving running time, making it more competitive in machine learning applications","Enhances performance in deep learning applications, reducing resource consumption and enabling faster processing times.",tie,"Both patents have distinct yet complementary strengths in enhancing deep learning performance, making them competitive alternatives."
Energy,12,US9257711B2,US11955674B1,tie,"Both patents aim to improve energy production efficiency, but they focus on different areas: molten carbonate fuel cells in US9257711B2 and hydrocarbon cracking systems in US11955674B1.",Improves energy production efficiency in molten carbonate fuel cells by recycling hydrogen for repeated use at the anode.,"Separates a first cracking product stream into hydrogen-rich methane and secondary streams, converting the methane into electricity in a fuel cell to reduce excessive carbon dioxide emissions during olefin production.",ours,"The recycling method described in US9257711B2 is unique as it recycles hydrogen-rich exhaust back to the anode inlet, which is beyond the traditional 70% to 75% utilization.",Recycles hydrogen-rich exhaust back to the anode inlet for increased utilization beyond traditional 70% to 75%.,"Uses a combined separation and power generation system within a single structure, optimizing resource utilization in hydrocarbon cracking systems.",ours,"Increasing energy production and hydrogen utilization through recycling can potentially enhance competitiveness in renewable energy sectors, making US9257711B2 more strategically valuable.","Increases energy production and efficient use of hydrogen, potentially enhancing product competitiveness in renewable energy sectors.","Offers compliance with emerging low-emission regulations, reduces carbon footprint for hydrocarbon cracking systems, and presents potential for energy recovery through electricity production",ours,The patent with a unique method for recycling hydrogen in molten carbonate fuel cells potentially offers a greater competitive advantage.
Energy,12,US9257711B2,EP4469183A1,competitor,"The EP4469183A1 patent focuses on reducing emissions by removing CO2 from H2-rich gas mixtures, which is directly related to the hydrogen production process. On the other hand, the US9257711B2 patent improves energy production efficiency in molten carbonate fuel cells by recycling hydrogen for repeated use at the anode. While both patents contribute to the green energy sector, EP4469183A1's direct involvement with hydrogen production process makes it more relevant to the functional purpose.",Improves energy production efficiency in molten carbonate fuel cells by recycling hydrogen for repeated use at the anode.,"Removes CO2 from H2-rich gas mixtures to produce high-purity H2 for further use or storage, reducing emissions in hydrogen production processes.",competitor,"The EP4469183A1 patent uses a pressure swing adsorption (PSA) unit integrated with the hydrogen production process to selectively capture CO2 using sorbent material. This technical approach is unique in that it addresses the problem of CO2 emissions during hydrogen production, while also purifying the H2 product. In contrast, the US9257711B2 patent recycles hydrogen-rich exhaust back to the anode for increased utilization, but this technique is not unheard of in the field and does not offer the same level of technical uniqueness as the PSA integration.",Recycles hydrogen-rich exhaust back to the anode inlet for increased utilization beyond traditional 70% to 75%.,Uses a pressure swing adsorption (PSA) unit integrated with the hydrogen production process to selectively capture CO2 using sorbent material.,competitor,"The EP4469183A1 patent reduces emissions, contributing to mitigating global warming and providing a higher purity H2 product for subsequent use or storage. These aspects are crucial in the green energy sector, as they not only improve the efficiency of hydrogen production but also contribute to environmental sustainability. The US9257711B2 patent increases energy production and efficient use of hydrogen, which is valuable, but its strategic value does not outweigh the emissions reduction and product purification benefits offered by EP4469183A1.","Increases energy production and efficient use of hydrogen, potentially enhancing product competitiveness in renewable energy sectors.","Reduces emissions, contributing to mitigating global warming and providing a higher purity H2 product for subsequent use or storage.",competitor,"The EP4469183A1 patent demonstrates a unique technical approach, contributes significantly to emissions reduction in the hydrogen production process, and provides higher purity H2 for subsequent use or storage. Its strategic value lies in its potential to address environmental concerns while improving hydrogen product quality."
